Wort,Schwierigkeit,Thema,Lernstatus,Beispielsatz
die Mama,leicht,Wir leben zusammen,neu,-,
der Papa,leicht,Wir leben zusammen,neu,-,
und,leicht,Wir leben zusammen,neu,-,
der Bruder,leicht,Wir leben zusammen,neu,-,
die Schwester,leicht,Wir leben zusammen,neu,-,
der Name,leicht,Wir leben zusammen,neu,-,
gernhaben,leicht,Wir leben zusammen,neu,-,
wollen,leicht,Wir leben zusammen,neu,-,
teilen,leicht,Wir leben zusammen,neu,-,
helfen,leicht,Wir leben zusammen,neu,-,
ärgern,leicht,Wir leben zusammen,neu,-,
das Haus,leicht,Wir leben zusammen,neu,-,
nach Hause,leicht,Wir leben zusammen,neu,-,
dürfen,leicht,Wir leben zusammen,neu,-,
ich,leicht,Wir leben zusammen,neu,-,
du,leicht,Wir leben zusammen,neu,-,
mein,leicht,Wir leben zusammen,neu,-,
der Vater,mittel,Wir leben zusammen,neu,-,
die Mutter,mittel,Wir leben zusammen,neu,-,
die Eltern,mittel,Wir leben zusammen,neu,-,
die Familie,mittel,Wir leben zusammen,neu,-,
der Zwilling,mittel,Wir leben zusammen,neu,-,
sich lieben,mittel,Wir leben zusammen,neu,-,
sich vertragen,mittel,Wir leben zusammen,neu,-,
geben,mittel,Wir leben zusammen,neu,-,
lassen,mittel,Wir leben zusammen,neu,-,
erlauben,mittel,Wir leben zusammen,neu,-,
verbieten,mittel,Wir leben zusammen,neu,-,
loben,mittel,Wir leben zusammen,neu,-,
schimpfen,mittel,Wir leben zusammen,neu,-,
sich streiten,mittel,Wir leben zusammen,neu,-,
zanken,mittel,Wir leben zusammen,neu,-,
zusammen,mittel,Wir leben zusammen,neu,-,
dein,mittel,Wir leben zusammen,neu,-,
der Vorname,schwer,Wir leben zusammen,neu,-,
der Nachname,schwer,Wir leben zusammen,neu,-,
heißen,schwer,Wir leben zusammen,neu,-,
kommen aus,schwer,Wir leben zusammen,neu,-,
zusammenleben,schwer,Wir leben zusammen,neu,-,
der Streit,schwer,Wir leben zusammen,neu,-,
sich trennen,schwer,Wir leben zusammen,neu,-,
